id_departamento,id_municipio,nombre,poblacion
66,66170,Dosquebradas,217178
66,66318,Guática,12158
66,66383,La Celia,7514
66,66400,La Virginia,27923
66,66440,Marsella,16940
66,66456,Mistrató,16950
66,66572,Pueblo Rico,16156
66,66594,Quinchía,27292
66,66682,Santa Rosa de Cabal,77838
66,66687,Santuario,12664
68,68001,Bucaramanga,581130
68,68013,Aguada,1855
68,68020,Albania,4129
68,68051,Aratoca,8229
68,68077,Barbosa,31050
68,68079,Barichara,10486
68,68081,Barrancabermeja,203537
68,68092,Betulia,5941
68,68101,Bolívar,11287
68,68121,Cabrera,1937
68,68132,California,2130
68,68147,Capitanejo,5505
68,68152,Carcasí,4292
68,68160,Cepitá,2015
68,68162,Cerrito,6729
68,68167,Charalá,12270
68,68169,Charta,2888
68,68176,Chima,2875
68,68179,Chipatá,5075
68,68190,Cimitarra,32947
68,68207,Concepción,5738
68,68209,Confines,3159
68,68211,Contratación,3679
68,68217,Coromoro,5015
68,68229,Curití,12717
68,68235,El Carmen de Chucurí,20916
68,68245,El Guacamayo,2167
68,68250,El Peñón,5279
68,68255,El Playón,13713
68,68264,Encino,2552
68,68266,Enciso,3461
68,68271,Florián,5562
68,68276,Floridablanca,291935
68,68296,Galán,2886
68,68298,Gámbita,4021
68,68307,Girón,160403
68,68318,Guaca,5916
68,68320,Guadalupe,4511
68,68322,Guapotá,2375
68,68324,Guavatá,4230
68,68327,Güepsa,5114
68,68344,Hato,2328
68,68368,Jesús María,3342
68,68370,Jordán,1314
68,68377,La Belleza,6198
68,68385,Landázuri,10384
68,68397,La Paz,4953
68,68406,Lebrija,41835
68,68418,Los Santos,14106
68,68425,Macaravita,2171
68,68432,Málaga,20945
68,68444,Matanza,4976
68,68464,Mogotes,10527
68,68468,Molagavita,4137
68,68498,Ocamonte,5661
68,68500,Oiba,10800
68,68502,Onzaga,4183
68,68522,Palmar,1361
68,68524,Palmas del Socorro,2535
68,68533,Páramo,4654
68,68547,Piedecuesta,170625
68,68549,Pinchote,5162
68,68572,Puente Nacional,14654
68,68573,Puerto Parra,7640
68,68575,Puerto Wilches,32791
68,68615,Rionegro,26438
68,68655,Sabana de Torres,33055
68,68669,San Andrés,8683
68,68673,San Benito,2950
68,68679,San Gil,56037
68,68682,San Joaquín,2241
68,68684,San José de Miranda,4367
68,68686,San Miguel,2531
68,68689,San Vicente de Chucurí,33133
68,68705,Santa Bárbara,2401
68,68720,Santa Helena del Opón,3389
68,68745,Simacota,10042
68,68755,Socorro,32158
68,68770,Suaita,10031
68,68773,Sucre,7202
68,68780,Suratá,3975
68,68820,Tona,7373
68,68855,Valle de San José,6084
68,68861,Vélez,24356
68,68867,Vetas,2114
68,68872,Villanueva,7873
68,68895,Zapatoca,9466
70,70001,Sincelejo,277773
70,70110,Buenavista,10441
70,70124,Caimito,15231
70,70204,Colosó,8623
70,70215,Corozal,67371
70,70221,Coveñas,18250
70,70230,Chalán,4466
70,70233,El Roble,9944
70,70235,Galeras,21982
70,70265,Guaranda,17713
70,70400,La Unión,12349
70,70418,Los Palmitos,22880
70,70429,Majagual,36650
70,70473,Morroa,15061
70,70508,Ovejas,22871
70,70523,Palmito,14114
70,70670,Sampués,46455
70,70678,San Benito Abad,28673
70,70702,San Juan de Betulia,13535
70,70708,San Marcos,57672
